"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2001","2001","PC","Percentage","0","Units",,,30.964,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2002","2002","PC","Percentage","0","Units",,,31.21,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2003","2003","PC","Percentage","0","Units",,,31.593,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2004","2004","PC","Percentage","0","Units",,,31.521,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2005","2005","PC","Percentage","0","Units",,,32.116,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2006","2006","PC","Percentage","0","Units",,,31.949,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2007","2007","PC","Percentage","0","Units",,,32.586,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2008","2008","PC","Percentage","0","Units",,,32.459,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2009","2009","PC","Percentage","0","Units",,,32.207,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2010","2010","PC","Percentage","0","Units",,,32.509,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2011","2011","PC","Percentage","0","Units",,,32.74,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2012","2012","PC","Percentage","0","Units",,,32.78,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2013","2013","PC","Percentage","0","Units",,,32.182,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2014","2014","PC","Percentage","0","Units",,,31.706,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2015","2015","PC","Percentage","0","Units",,,31.012,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2016","2016","PC","Percentage","0","Units",,,30.453,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2017","2017","PC","Percentage","0","Units",,,29.759,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2018","2018","PC","Percentage","0","Units",,,29.178,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2019","2019","PC","Percentage","0","Units",,,27.899,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2020","2020","PC","Percentage","0","Units",,,27.419,,
"OECD","OECD - Total","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2021","2021","PC","Percentage","0","Units",,,27.616,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1990","1990","PC","Percentage","0","Units",,,16.94,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1991","1991","PC","Percentage","0","Units",,,17.103,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1992","1992","PC","Percentage","0","Units",,,18.582,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1993","1993","PC","Percentage","0","Units",,,17.748,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1994","1994","PC","Percentage","0","Units",,,20.923,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1995","1995","PC","Percentage","0","Units",,,20.318,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1996","1996","PC","Percentage","0","Units",,,20.34,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1997","1997","PC","Percentage","0","Units",,,21.356,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1998","1998","PC","Percentage","0","Units",,,23.229,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","1999","1999","PC","Percentage","0","Units",,,25.322,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2000","2000","PC","Percentage","0","Units",,,26.002,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2001","2001","PC","Percentage","0","Units",,,28.593,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2002","2002","PC","Percentage","0","Units",,,25.998,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2003","2003","PC","Percentage","0","Units",,,24.448,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2004","2004","PC","Percentage","0","Units",,,24.074,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2005","2005","PC","Percentage","0","Units",,,26.948,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2006","2006","PC","Percentage","0","Units",,,27.004,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2007","2007","PC","Percentage","0","Units",,,29.189,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2008","2008","PC","Percentage","0","Units",,,30.887,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2009","2009","PC","Percentage","0","Units",,,30.282,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2010","2010","PC","Percentage","0","Units",,,28.625,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2011","2011","PC","Percentage","0","Units",,,29.46,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2012","2012","PC","Percentage","0","Units",,,28.356,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2013","2013","PC","Percentage","0","Units",,,27.622,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2014","2014","PC","Percentage","0","Units",,,28.817,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2015","2015","PC","Percentage","0","Units",,,28.587,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2016","2016","PC","Percentage","0","Units",,,29.141,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2017","2017","PC","Percentage","0","Units",,,29.772,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2018","2018","PC","Percentage","0","Units",,,30.316,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2019","2019","PC","Percentage","0","Units",,,29.415,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2020","2020","PC","Percentage","0","Units",,,27.08,,
"TUR","Türkiye","GHG","Greenhouse gases","ENER_IND_P","1A1 - Energy Industries (%)","2021","2021","PC","Percentage","0","Units",,,28.262,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1990","1990","PC","Percentage","0","Units",,,11.346,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1991","1991","PC","Percentage","0","Units",,,11.101,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1992","1992","PC","Percentage","0","Units",,,11.087,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1993","1993","PC","Percentage","0","Units",,,10.903,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1994","1994","PC","Percentage","0","Units",,,10.467,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1995","1995","PC","Percentage","0","Units",,,10.46,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1996","1996","PC","Percentage","0","Units",,,9.859,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1997","1997","PC","Percentage","0","Units",,,9.847,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1998","1998","PC","Percentage","0","Units",,,9.54,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","1999","1999","PC","Percentage","0","Units",,,9.864,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","2000","2000","PC","Percentage","0","Units",,,9.4,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","2001","2001","PC","Percentage","0","Units",,,9.178,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","2002","2002","PC","Percentage","0","Units",,,8.703,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","2003","2003","PC","Percentage","0","Units",,,8.511,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","2004","2004","PC","Percentage","0","Units",,,8.351,,
"NLD","Netherlands","GHG","Greenhouse gases","AGR_P","3 - Agriculture (%)","2005","2005","PC","Percentage","0","Units",,,8.503,,
